耀 | yao 1208
枅 | ji 2
蘄 | qin 1
涉 | she 721
谈 | tan 3289
伊 | yi 3924
玍 | ga 1
鈌 | jue 2
唎 | li 2
禑 | wu 1
預 | yu 53
嬒 | hei 1
羕 | yang 3
鸔 | bu 1
朚 | wang 1
讝 | zhan 1
醡 | zha 2
咣 | guang 9
猢 | hu 13
媧 | wa 1
礦 | kuang 1
鶩 | wu 1
悫 | que 24
暯 | mo 1
蔮 | guo 1
河 | he 13129
謲 | zao 1
临 | lin 5266
犷 | guang 21
鄶 | kuai 1
吸 | xi 2371
霺 | wei 1
娼 | chang 62
鴾 | mou 1
恀 | shi 1
蓃 | sou 1
晄 | huang 1
談 | tan 2
汈 | diao 1
郋 | xi 3
反 | fan 5737
牌 | pai 1707
姑 | gu 1137
鳓 | le 35
織 | zhi 7
旙 | fan 1
葘 | zi 2
毝 | cai 1
詜 | tao 1
燡 | yi 2
遠 | yuan 14
知 | zhi 11874
奦 | wu 1
緩 | huan 6
鱨 | chang 2
彪 | biao 311
敮 | xia 1
觱 | bi 22
迵 | dong 3
煶 | shi 1
闹 | nao 524
壻 | xu 4
睺 | hou 17
鯽 | zei 1
廿 | nian 124
絾 | cheng 1
搃 | zong 1
莂 | bie 3
樇 | xiu 1
覆 | fu 1413
瀋 | shen 3
辊 | gun 1063
劌 | gui 1
瘏 | tu 5
閎 | hong 1
簓 | diao 1
鮒 | fu 1
应 | ying 10381
舗 | pu 1
蠛 | mie 9
踟 | chi 92
儡 | lei 95
炠 | xia 1
鐣 | zhang 1
圥 | lu 6
皤 | po 47
騧 | gua 17
崩 | beng 490
粨 | bai 1
挭 | geng 28
芬 | fen 1833
椱 | fu 1
漵 | xu 1
躴 | lang 2
冶 | ye 1572
甹 | ping 2
钸 | bu 1
笽 | min 1
骼 | ge 57
嶾 | yin 2
腁 | pian 1
揂 | you 1
蝅 | can 1
槆 | chun 1
赉 | lai 64
偋 | bing 1
鍍 | du 1
噏 | xi 12
痎 | jie 4
屓 | xie 1
篒 | shi 1
齕 | he 4
扗 | zai 1
臖 | xing 1
蟚 | peng 1
僠 | bo 1
瑣 | suo 1
鏢 | biao 1
囤 | tun 35
駦 | teng 1
峨 | e 680
聫 | lian 1
括 | kuo 356
虯 | qiu 2
豳 | bin 41
併 | bing 26
滴 | di 1454
鉷 | hong 1
须 | xu 3649
孽 | nie 216
竼 | peng 1
脀 | zheng 1
蜄 | zhen 1
沉 | chen 2704
贈 | zeng 11
上 | shang 28002
錌 | an 1
后 | hou 11800
碑 | bei 1168
娒 | wu 1
鼔 | gu 1
怖 | bu 274
昚 | shen 5
誝 | an 1
侟 | jian 1
氞 | bin 1
邡 | fang 10
喣 | xu 17
爢 | mi 4
隥 | deng 2
宧 | yi 5
砦 | zhai 13
鲩 | huan 15
憫 | min 1
縪 | bi 1
枯 | ku 1072
萮 | yu 10
涳 | nang 1
訲 | yi 1
玷 | dian 76
逶 | wei 136
离 | li 6252
阺 | di 1
嬼 | liu 1
羿 | yi 63
鰾 | biao 1
慀 | xie 1
藃 | xiao 1
杄 | qian 4
诇 | xiong 4
浈 | zhen 17
勍 | qing 18
獌 | man 1
壑 | he 519
祐 | you 123
鷓 | zhe 2
廕 | yin 1
罔 | wang 102
擙 | ao 1
櫝 | du 1
譜 | pu 3
烡 | guang 1
酠 | qia 1
剢 | zhuo 1
盥 | guan 54
靤 | bao 1
塦 | zhen 1
糩 | kuai 1
鵨 | shu 1
幪 | meng 7
苭 | yao 1
摮 | qiao 1
裱 | biao 35
橲 | xi 1
軵 | rong 1
灶 | zao 612
铹 | lao 1
姻 | yin 317
発 | fa 1
髽 | zhua 7
忿 | fen 80
籾 | ni 1
节 | jie 7203
欇 | she 1
焋 | zhuang 1
躊 | chou 1
厌 | yan 907
眏 | ying 1
钎 | qian 153
妐 | zhong 1
紓 | shu 1
骒 | ke 2
徔 | zhi 1
茗 | ming 801
斘 | sheng 1
殜 | die 1
輟 | chuo 1
